jurisdiction,body_name,person_id,full_name,role_title,chamber,district,party,email_primary,phone_primary,source_count
Napa City Council,Napa City Council,55286021-3cee-4f2f-9cc6-c7764e7da702,Christopher DeNatale,council member,,1,,,+17072587800,2
Napa City Council,Napa City Council,77b7e17d-02e6-4e86-bae8-a10dce0fb1eb,Beth Painter,council member,,2,,,+17072587800,2
Napa City Council,Napa City Council,e0391b3f-8c7e-4095-8da8-3633b30ad25d,Mary Luros,Vice Mayor,,3,,,+17072587800,2
Napa City Council,Napa City Council,70e01d09-2acb-4e6b-8bbc-a1224fe8aafb,Bernie Narvaez,council member,,4,,,+17072587800,2
Napa City Council,Napa City Council,27c098b0-a790-40ac-9bb8-54bb427eaa90,Scott Sedgley,Mayor,,,,,+17072587876,1
