jurisdiction,body_name,person_id,full_name,role_title,chamber,district,party,email_primary,phone_primary,source_count
Savannah City Council,Savannah City Council,ecc6577f-9665-4683-89c9-f28c2f20f5cd,Bernetta B. Lanier,council member,,District 1,,,+19123466406,1
Savannah City Council,Savannah City Council,71434bc8-fe1d-4a7f-b8df-d890795ec755,Linda Wilder-Bryan,Vice Chair,,3,,,+19123469841,1
Savannah City Council,Savannah City Council,b6d61441-b2a1-47fb-9fd1-246498b4c336,Dr. Estella Edwards Shabazz,Mayor Pro Tem,,5,,,+19123463305,1
