jurisdiction,body_name,person_id,full_name,role_title,chamber,district,party,email_primary,phone_primary,source_count
Las Vegas City Council,Las Vegas City Council,42ecf317-a108-4584-baa4-fa4b37fa09a9,Brian Knudsen,Mayor Pro Tem,,Ward 1,,,,1
Las Vegas City Council,Las Vegas City Council,9b068fbd-17a8-46fd-9db1-41e065ea3ded,Kara Kelley,council member,,Ward 2,,,,1
Las Vegas City Council,Las Vegas City Council,a534b489-3912-4c97-8a70-a0b62d6d2ab4,Olivia Diaz,council member,,Ward 3,,,,1
Las Vegas City Council,Las Vegas City Council,8f78c00d-36c8-4222-b4f3-c5d96c81f805,Francis Allen-Palenske,council member,,Ward 4,,,,1
Las Vegas City Council,Las Vegas City Council,9a4cf222-f8db-41f8-86cb-ac20f20a3964,Shondra Summers-Armstrong,council member,,Ward 5,,,,1
Las Vegas City Council,Las Vegas City Council,f1eb2d17-7d90-4ad3-af32-b71916c26b5b,Nancy E. Brune,council member,,Ward 6,,,,1
