jurisdiction,body_name,person_id,full_name,role_title,chamber,district,party,email_primary,phone_primary,source_count
Key West City Commission Council,Key West City Commission,7998051b-7d95-4dc0-aca9-e51b3389d874,"Danise ""DeeDee"" Henriquez",Mayor,,,,,+13058093840,1
Key West City Commission Council,Key West City Commission Council,af3f9b7d-cb0e-4c40-a6b0-067113a87ba2,Dorian Patton,Commission Liaison,,,,,+13058093868,1
Key West City Commission Council,Key West City Commission,e3260fa2-187a-4325-ab20-225c8b6cb424,Lissette Carey,commissioner,,District IV,,,+13058093844,1
Key West City Commission Council,Key West City Commission,ef97e55e-b92d-44de-b6e6-1c1a3aceabb4,Aaron Castillo,commissioner,,District VI,,,+13058093844,1
Key West City Commission Council,Key West City Commission,832d3bf9-d372-4307-b96e-84f5489775ef,Monica Haskell,commissioner,,I,,,+13058093844,1
Key West City Commission Council,Key West City Commission,f76f595c-b9c7-466f-9635-a587341350d0,Mary Lou Hoover,commissioner,,District V,,,+13058093844,1
Key West City Commission Council,Key West City Commission,44e1c26c-ce37-4bbb-9e82-11b29aeb232f,Samuel Kaufman,Commissioner,,District II,,,+13058093844,1
Key West City Commission Council,Key West City Commission,bac23bb9-7e59-4d58-b8ed-8fa07108ddbb,"Donald ""Donie"" Lee",commissioner,,III,,,+13058093844,1
